date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:20	86676/86676	---MCZ	200	added ('OK')	text/html	etag:W/%22654f66c1-15294%22	https://thetork.com/demos/html/bitrader/index.html?theme=dark	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/index4965.html	(from )
14:07:21	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Dec%202023%2005:04:34%20GMT	https://thetork.com/robots.txt		(from )
14:07:21	86676/86676	---M-Z	200	added ('OK')	text/html	etag:%2215294-609ded1ae1658-gzip%22	https://thetork.com/demos/html/bitrader/	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/index.html	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:22	690/690	---M--	200	added ('OK')	image/png	etag:%2264afb9fd-2b2%22	https://thetork.com/demos/html/bitrader/assets/images/favicon.png	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/images/favicon.png	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:23	314705/314705	---M--	200	added ('OK')	image/png	etag:%2264afb9fd-4cd51%22	https://thetork.com/demos/html/bitrader/assets/images/og.png	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/images/og.png	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:23	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2264b7a9d1-38dd2%22	https://thetork.com/demos/html/bitrader/assets/css/bootstrap.min.css	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/css/bootstrap.min.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:24	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2264afb9fd-65c5%22	https://thetork.com/demos/html/bitrader/assets/css/aos.css	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/css/aos.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:24	102025/102025	---MCZ	200	added ('OK')	text/css	etag:W/%2264afb9fd-18e89%22	https://thetork.com/demos/html/bitrader/assets/css/all.min.css	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/css/all.min.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:25	16493/16493	---MCZ	200	added ('OK')	text/css	etag:W/%2264afb9fd-406d%22	https://thetork.com/demos/html/bitrader/assets/css/swiper-bundle.min.css	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/css/swiper-bundle.min.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:25	259734/259734	---MCZ	200	added ('OK')	text/css	etag:W/%22654f66c1-3f696%22	https://thetork.com/demos/html/bitrader/assets/css/style.css	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/css/style.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:25	1639/1639	---M--	200	added ('OK')	image/png	etag:%2264afb9fd-667%22	https://thetork.com/demos/html/bitrader/assets/images/logo/preloader.png	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/images/logo/preloader.png	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:26	520/520	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264afb9fd-208%22	https://thetork.com/demos/html/bitrader/assets/images/icon/moon.svg	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/images/icon/moon.svg	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:26	86676/86676	---MCZ	200	added ('OK')	text/html	etag:W/%22654f66c1-15294%22	https://thetork.com/demos/html/bitrader/index.html	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/index-2.html	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:26	2702/2702	---M--	200	added ('OK')	image/png	etag:%2264afb9fd-a8e%22	https://thetork.com/demos/html/bitrader/assets/images/logo/logo.png	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/images/logo/logo.png	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:27	43602/43602	---M--	200	added ('OK')	image/png	etag:%22654f11f5-aa52%22	https://thetork.com/demos/html/bitrader/assets/images/demo/1.png	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/assets/images/demo/1.png	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
14:07:27	86676/86676	---MCZ	200	added ('OK')	text/html	etag:W/%22654f66c1-15294%22	https://thetork.com/demos/html/bitrader/index.html?theme=light	E:/My%20Web%20Sites/Bitrator/thetork.com/demos/html/bitrader/index6a08.html	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
